Date,Adj Close AVAL,Close AVAL,Dividends AVAL,High AVAL,Low AVAL,Open AVAL,Stock Splits AVAL,Volume AVAL,Day_of_Week,Month,Year,Quarter,SMA_7,SMA_21,Volatility_7,Daily_Return,Cumulative_Return,RSI,Momentum,BB_middle,BB_upper,BB_lower
2014-09-23,7.865411281585693,13.579999923706056,0.0,13.760000228881836,13.489999771118164,13.5,0.0,24245800,Tuesday,9,2014,3,,,,,,,,,,
2014-09-24,7.9059553146362305,13.649999618530272,0.0,13.720000267028809,13.5600004196167,13.619999885559082,0.0,2734300,Wednesday,9,2014,3,,,,0.005154725112144876,1.0051547251121449,,,,,
2014-09-25,7.940704345703125,13.710000038146973,0.0,13.850000381469728,13.649999618530272,13.739999771118164,0.0,4225700,Thursday,9,2014,3,,,,0.004395298187755303,1.009572679853844,,,,,
2014-09-26,7.981245994567871,13.779999732971191,0.0,13.920000076293944,13.699999809265137,13.850000381469728,0.0,4736300,Friday,9,2014,3,,,,0.005105548210806221,1.0147271018431507,,,,,
2014-09-29,7.900161266326904,13.640000343322754,0.0,13.729999542236328,13.600000381469728,13.699999809265137,0.0,1303900,Monday,9,2014,3,,,,-0.010159407227412154,1.0044180759908345,,,,,
2014-09-30,7.848034381866455,13.550000190734863,0.0,13.8100004196167,13.520000457763672,13.609999656677246,0.0,1804900,Tuesday,9,2014,3,,,,-0.006598205112929967,0.9977907195063126,,,,,
2014-10-01,7.8579182624816895,13.520000457763672,0.047,13.600000381469728,13.460000038146973,13.550000190734863,0.0,1008700,Wednesday,10,2014,4,7.899918692452567,,0.04823705083123597,0.0012594084243657822,0.9990473455442128,,,,,
2014-10-02,7.8637261390686035,13.529999732971191,0.0,13.640000343322754,13.460000038146973,13.479999542236328,0.0,315300,Thursday,10,2014,4,7.899677957807269,,0.04844173868490746,0.0007391113514942926,0.9997857527779848,,-0.0016851425170898438,,,
2014-10-03,7.8986005783081055,13.59000015258789,0.0,13.829999923706056,13.5600004196167,13.829999923706056,0.0,287400,Friday,10,2014,4,7.898627281188965,,0.04836258948339187,0.004434849157098464,1.0042196517809712,,-0.007354736328125,,,
2014-10-06,7.904412269592285,13.600000381469728,0.0,13.75,13.550000190734863,13.579999923706056,0.0,281200,Monday,10,2014,4,7.893442698887417,,0.04492302276569249,0.0007357874634323913,1.004958544011284,,-0.036292076110839844,,,
2014-10-07,7.910226345062256,13.609999656677246,0.0,13.6899995803833,13.520000457763672,13.550000190734863,0.0,267900,Tuesday,10,2014,4,7.883297034672329,,0.0256911086320321,0.0007355481054975854,1.005697739364435,,-0.07101964950561523,,,
2014-10-08,7.875352382659912,13.550000190734863,0.0,13.699999809265137,13.420000076293944,13.699999809265137,0.0,237900,Wednesday,10,2014,4,7.879752908434186,,0.024667751374393206,-0.004408718648627907,1.0012639009860163,,-0.024808883666992188,,,
2014-10-09,7.817230701446533,13.449999809265137,0.0,13.56999969482422,13.359999656677246,13.5600004196167,0.0,199300,Thursday,10,2014,4,7.875352382659912,,0.03270676993264553,-0.007380200705856987,0.9938743724372101,,-0.030803680419921875,,,
2014-10-10,7.776547431945801,13.380000114440918,0.0,13.4399995803833,13.270000457763672,13.369999885559082,0.0,205900,Friday,10,2014,4,7.863727978297642,,0.04988483252844907,-0.005204307133113595,0.9887019449513164,40.013439664587125,-0.08137083053588867,,,
2014-10-13,7.602182865142822,13.079999923706056,0.0,13.43000030517578,13.050000190734863,13.43000030517578,0.0,104800,Monday,10,2014,4,7.826364653451102,,0.11072842077580106,-0.02242184829821714,0.9665334199294657,28.747281955882983,-0.26154327392578125,,,
2014-10-14,7.555688858032227,13.0,0.0,13.390000343322754,12.979999542236328,13.199999809265137,0.0,741800,Tuesday,10,2014,4,7.777377264840262,,0.1442299707009295,-0.006115875918188962,0.9606222214623943,21.989069604623523,-0.3429117202758789,,,
2014-10-15,7.369705200195312,12.68000030517578,0.0,13.170000076293944,12.619999885559082,13.0,0.0,654200,Wednesday,10,2014,4,7.700990540640695,,0.1974959092877165,-0.024615049842768633,0.9369764576010263,13.230915861770796,-0.5347070693969735,,,
2014-10-16,7.352263450622559,12.649999618530272,0.0,12.739999771118164,12.359999656677246,12.649999618530272,0.0,1152300,Thursday,10,2014,4,7.621281555720738,,0.21110191481607593,-0.0023666821262119386,0.9347589321661406,8.255207212498817,-0.5579628944396973,,,
2014-10-17,7.410382270812988,12.75,0.0,12.93000030517578,12.539999961853027,12.539999961853027,0.0,538900,Friday,10,2014,4,7.55485725402832,,0.18992337003813337,0.00790488814509338,0.9421480969675409,16.471890849812738,-0.46497011184692383,,,
